comuna,ica,fecha,id
comuna 5,32,2024-06-23,47095
comuna 2,53,2024-06-23,8218
comuna 16,78,2024-01-30,12338
comuna 2,87,2024-06-25,13304
comuna 4,54,2024-06-25,20810
comuna 3,52,2024-07-31,135
comuna 3,81,2024-01-30,5011
comuna 12,89,2024-06-23,15049
comuna 3,91,2024-06-25,12355
comuna 13,18,2024-01-30,42205
comuna 4,15,2024-06-25,40630
comuna 13,24,2024-07-31,15763
comuna 14,81,2024-06-23,15505
comuna 4,32,2024-06-25,40658
comuna 8,11,2024-06-25,49466
comuna 5,19,2024-06-25,33147
comuna 12,17,2024-06-23,26591
comuna 7,25,2024-01-30,42163
comuna 3,79,2024-01-30,44630
comuna 15,100,2024-06-23,38949
comuna 15,67,2024-06-25,19991
comuna 16,86,2024-06-23,18591
comuna 7,29,2024-07-31,45420
comuna 8,40,2024-06-23,35620
comuna 1,85,2024-01-30,17479
comuna 10,59,2024-06-25,21319
comuna 16,79,2024-07-31,5292
comuna 3,58,2024-06-25,3305
comuna 16,69,2024-06-25,48831
comuna 1,97,2024-07-31,22087
comuna 15,18,2024-06-25,25524
comuna 12,27,2024-07-31,20026
comuna 11,96,2024-07-31,47851
comuna 15,30,2024-07-31,15691
comuna 6,70,2024-07-31,27298
comuna 16,96,2024-01-30,29534
comuna 4,57,2024-07-31,43742
comuna 5,44,2024-01-30,34361
comuna 15,74,2024-06-23,10704
comuna 3,17,2024-07-31,19056
comuna 16,78,2024-06-23,336
comuna 8,82,2024-06-23,38035
comuna 5,90,2024-01-30,22808
comuna 8,75,2024-07-31,13037
comuna 3,96,2024-06-23,13163
comuna 14,30,2024-07-31,46279
comuna 2,90,2024-07-31,44288
comuna 7,30,2024-06-23,5039
comuna 3,95,2024-07-31,20865
comuna 1,33,2024-06-23,48484
comuna 4,85,2024-01-30,10434
comuna 7,11,2024-06-23,40056
comuna 6,11,2024-06-25,15258
comuna 7,72,2024-06-23,39541
comuna 1,61,2024-06-25,38607
comuna 8,48,2024-06-25,5237
comuna 16,43,2024-01-30,44136
comuna 1,88,2024-01-30,9792
comuna 10,17,2024-06-23,10767
comuna 4,31,2024-01-30,11968
comuna 9,15,2024-07-31,8993
comuna 14,62,2024-01-30,1308
comuna 6,69,2024-07-31,18816
comuna 9,51,2024-01-30,14026
comuna 5,37,2024-06-23,11988
comuna 16,97,2024-06-23,42494
comuna 4,38,2024-06-23,39146
comuna 1,44,2024-07-31,13489
comuna 3,38,2024-06-25,35462
comuna 2,38,2024-06-23,47199
comuna 10,80,2024-01-30,12163
comuna 4,83,2024-06-25,29300
comuna 10,54,2024-06-23,23710
comuna 5,36,2024-06-25,40781
comuna 1,81,2024-01-30,43147
comuna 6,84,2024-06-23,1429
comuna 5,94,2024-06-25,41684
comuna 11,30,2024-01-30,39669
comuna 13,65,2024-01-30,37093
comuna 4,71,2024-07-31,27943
comuna 11,14,2024-06-25,6849
comuna 4,85,2024-01-30,40319
comuna 8,64,2024-06-23,12173
comuna 13,12,2024-07-31,47920
comuna 3,61,2024-06-23,1416
comuna 6,40,2024-07-31,28886
comuna 11,24,2024-07-31,17821
comuna 7,53,2024-06-25,49263
comuna 12,83,2024-06-25,35156
comuna 1,58,2024-07-31,40095
comuna 8,83,2024-06-25,46138
comuna 8,55,2024-06-23,2641
comuna 5,43,2024-07-31,47875
comuna 8,31,2024-07-31,7538
comuna 14,50,2024-07-31,30487
comuna 5,11,2024-07-31,45621
comuna 15,83,2024-07-31,1113
comuna 6,42,2024-01-30,40486
comuna 9,67,2024-06-25,4563
comuna 10,60,2024-06-23,24815
comuna 15,38,2024-07-31,44958
comuna 8,41,2024-06-23,28587
comuna 7,63,2024-07-31,11236
comuna 5,40,2024-06-23,8134
comuna 9,90,2024-06-25,12098
comuna 15,54,2024-06-25,16147
comuna 14,18,2024-06-25,13251
comuna 10,91,2024-06-23,2495
comuna 6,71,2024-07-31,39411
comuna 3,14,2024-07-31,4730
comuna 7,35,2024-07-31,49468
comuna 4,78,2024-06-23,41871
comuna 1,80,2024-01-30,34224
comuna 9,61,2024-07-31,3986
comuna 3,66,2024-06-25,13087
comuna 11,71,2024-07-31,32634
comuna 16,62,2024-06-23,14845
comuna 12,41,2024-06-23,28
comuna 14,52,2024-07-31,29229
comuna 7,48,2024-01-30,12603
comuna 16,84,2024-06-25,36231
comuna 8,99,2024-06-25,31200
comuna 3,32,2024-01-30,1102
comuna 12,73,2024-06-23,20040
comuna 4,39,2024-07-31,15341
comuna 14,21,2024-06-23,40100
comuna 13,10,2024-06-23,35529
comuna 12,66,2024-07-31,27823
comuna 5,50,2024-07-31,3214
comuna 7,80,2024-06-23,4520
comuna 10,90,2024-01-30,48624
comuna 15,57,2024-06-23,46895
comuna 3,19,2024-01-30,34289
comuna 2,92,2024-06-23,36342
comuna 11,94,2024-07-31,42051
comuna 5,36,2024-06-23,19985
comuna 3,45,2024-01-30,42024
comuna 11,94,2024-06-23,46829
comuna 1,41,2024-06-23,15319
comuna 7,64,2024-06-23,43999
comuna 9,55,2024-01-30,26273
comuna 16,20,2024-06-23,38618
comuna 2,63,2024-01-30,36635
comuna 3,72,2024-01-30,6117
comuna 9,91,2024-06-25,39636
comuna 12,24,2024-01-30,31611
comuna 5,33,2024-01-30,33755
comuna 10,99,2024-06-23,26005
comuna 5,24,2024-06-23,43688
comuna 2,62,2024-06-25,39728
comuna 16,98,2024-06-23,32997
comuna 15,46,2024-06-23,24518
comuna 10,92,2024-06-23,35497
comuna 6,47,2024-07-31,34378
comuna 5,71,2024-06-23,44409
comuna 5,74,2024-06-23,41505
comuna 5,96,2024-01-30,16555
comuna 11,64,2024-07-31,2722
comuna 16,77,2024-07-31,41291
comuna 10,91,2024-06-25,36796
comuna 13,67,2024-06-25,28620
comuna 10,45,2024-01-30,10066
comuna 7,45,2024-07-31,39434
comuna 6,17,2024-06-25,6971
comuna 16,60,2024-07-31,38029
comuna 9,50,2024-01-30,18400
comuna 2,10,2024-01-30,1585
comuna 14,22,2024-06-23,2547
comuna 2,77,2024-06-25,39853
comuna 12,62,2024-06-23,31301
comuna 3,31,2024-01-30,29672
comuna 11,60,2024-07-31,13009
comuna 2,47,2024-01-30,36200
comuna 12,80,2024-01-30,9961
comuna 16,13,2024-01-30,42187
comuna 15,95,2024-01-30,15039
comuna 14,99,2024-07-31,25071
comuna 7,64,2024-07-31,15395
comuna 15,48,2024-06-25,46519
comuna 16,14,2024-06-25,21139
comuna 5,94,2024-07-31,24743
comuna 3,64,2024-06-23,13058
comuna 6,96,2024-06-23,49143
comuna 11,55,2024-06-23,13243
comuna 14,26,2024-06-25,25133
comuna 6,23,2024-06-23,25600
comuna 16,94,2024-07-31,15458
comuna 15,96,2024-06-23,29630
comuna 12,40,2024-06-25,7972
comuna 16,61,2024-01-30,46955
comuna 4,19,2024-01-30,49235
comuna 13,70,2024-06-25,25482
comuna 8,93,2024-01-30,46995
comuna 7,40,2024-07-31,7243
comuna 3,66,2024-01-30,21545
comuna 3,97,2024-01-30,33820
comuna 12,97,2024-06-23,42711
comuna 13,90,2024-06-23,27540
comuna 15,80,2024-01-30,45186
comuna 3,45,2024-01-30,17190
comuna 4,98,2024-06-25,27697
comuna 2,78,2024-06-23,27284
comuna 12,44,2024-06-23,20627
comuna 12,43,2024-06-25,32771
comuna 7,82,2024-06-23,23447
comuna 2,85,2024-07-31,6215
comuna 8,58,2024-06-25,28236
comuna 6,47,2024-06-25,40110
comuna 14,79,2024-06-23,46580
comuna 1,28,2024-07-31,42120
comuna 12,40,2024-06-23,43441
comuna 15,57,2024-01-30,27974
comuna 6,93,2024-06-23,83
comuna 6,66,2024-06-23,30284
comuna 2,29,2024-07-31,41893
comuna 4,11,2024-01-30,16281
comuna 9,40,2024-06-23,19368
comuna 14,56,2024-01-30,21091
comuna 1,21,2024-01-30,2803
comuna 10,49,2024-06-25,46377
comuna 2,95,2024-01-30,36288
comuna 14,46,2024-07-31,32721
comuna 15,68,2024-06-23,22793
comuna 1,26,2024-07-31,6913
comuna 7,98,2024-06-23,2409
comuna 15,61,2024-07-31,21058
comuna 2,35,2024-06-25,40086
comuna 11,74,2024-06-25,28201
comuna 6,39,2024-06-23,32487
comuna 3,89,2024-06-23,26911
comuna 1,98,2024-06-25,35202
comuna 8,85,2024-06-23,49590
comuna 4,29,2024-01-30,33061
comuna 12,46,2024-07-31,34923
comuna 13,14,2024-01-30,42565
comuna 13,38,2024-01-30,48025
comuna 11,84,2024-06-25,43257
comuna 6,46,2024-01-30,40269
comuna 1,43,2024-06-23,37314
comuna 15,30,2024-01-30,45851
